Pokemon Name,Type 1,Type 2,hp,attack,defense,special attack,special defense,speed
hitmonchan,fighting,,50,105,79,35,110,76
lickitung,normal,,90,55,75,60,75,30
koffing,poison,,40,65,95,60,45,35
weezing,poison,,65,90,120,85,70,60
rhyhorn,ground,rock,80,85,95,30,30,25
rhydon,ground,rock,105,130,120,45,45,40
chansey,normal,,250,5,5,35,105,50
tangela,grass,,65,55,115,100,40,60
kangaskhan,normal,,105,95,80,40,80,90
horsea,water,,30,40,70,70,25,60
seadra,water,,55,65,95,95,45,85
goldeen,water,,45,67,60,35,50,63
seaking,water,,80,92,65,65,80,68
staryu,water,,30,45,55,70,55,85
starmie,water,psychic,60,75,85,100,85,115
mr-mime,psychic,fairy,40,45,65,100,120,90
scyther,bug,flying,70,110,80,55,80,105
jynx,ice,psychic,65,50,35,115,95,95
electabuzz,electric,,65,83,57,95,85,105
magmar,fire,,65,95,57,100,85,93
pinsir,bug,,65,125,100,55,70,85
tauros,normal,,75,100,95,40,70,110
magikarp,water,,20,10,55,15,20,80
gyarados,water,flying,95,125,79,60,100,81
lapras,water,ice,130,85,80,85,95,60
ditto,normal,,48,48,48,48,48,48
eevee,normal,,55,55,50,45,65,55
vaporeon,water,,130,65,60,110,95,65
jolteon,electric,,65,65,60,110,95,130
flareon,fire,,65,130,60,95,110,65
porygon,normal,,65,60,70,85,75,40
omanyte,rock,water,35,40,100,90,55,35
omastar,rock,water,70,60,125,115,70,55
kabuto,rock,water,30,80,90,55,45,55
kabutops,rock,water,60,115,105,65,70,80
aerodactyl,rock,flying,80,105,65,60,75,130
snorlax,normal,,160,110,65,65,110,30
articuno,ice,flying,90,85,100,95,125,85
zapdos,electric,flying,90,90,85,125,90,100
moltres,fire,flying,90,100,90,125,85,90
dratini,dragon,,41,64,45,50,50,50
dragonair,dragon,,61,84,65,70,70,70
dragonite,dragon,flying,91,134,95,100,100,80
mewtwo,psychic,,106,110,90,154,90,130
mew,psychic,,100,100,100,100,100,100
chikorita,grass,,45,49,65,49,65,45
bayleef,grass,,60,62,80,63,80,60
meganium,grass,,80,82,100,83,100,80
cyndaquil,fire,,39,52,43,60,50,65
quilava,fire,,58,64,58,80,65,80
typhlosion,fire,,78,84,78,109,85,100
totodile,water,,50,65,64,44,48,43
croconaw,water,,65,80,80,59,63,58
feraligatr,water,,85,105,100,79,83,78
sentret,normal,,35,46,34,35,45,20
furret,normal,,85,76,64,45,55,90
hoothoot,normal,flying,60,30,30,36,56,50
noctowl,normal,flying,100,50,50,86,96,70
ledyba,bug,flying,40,20,30,40,80,55
ledian,bug,flying,55,35,50,55,110,85
spinarak,bug,poison,40,60,40,40,40,30
ariados,bug,poison,70,90,70,60,70,40
crobat,poison,flying,85,90,80,70,80,130
chinchou,water,electric,75,38,38,56,56,67
lanturn,water,electric,125,58,58,76,76,67
pichu,electric,,20,40,15,35,35,60
cleffa,fairy,,50,25,28,45,55,15
igglybuff,normal,fairy,90,30,15,40,20,15
togepi,fairy,,35,20,65,40,65,20
togetic,fairy,flying,55,40,85,80,105,40
natu,psychic,flying,40,50,45,70,45,70
xatu,psychic,flying,65,75,70,95,70,95
mareep,electric,,55,40,40,65,45,35
flaaffy,electric,,70,55,55,80,60,45
ampharos,electric,,90,75,85,115,90,55
bellossom,grass,,75,80,95,90,100,50
marill,water,fairy,70,20,50,20,50,40
azumarill,water,fairy,100,50,80,60,80,50
sudowoodo,rock,,70,100,115,30,65,30
politoed,water,,90,75,75,90,100,70
hoppip,grass,flying,35,35,40,35,55,50
skiploom,grass,flying,55,45,50,45,65,80
jumpluff,grass,flying,75,55,70,55,95,110
aipom,normal,,55,70,55,40,55,85
sunkern,grass,,30,30,30,30,30,30
sunflora,grass,,75,75,55,105,85,30
yanma,bug,flying,65,65,45,75,45,95
wooper,water,ground,55,45,45,25,25,15
quagsire,water,ground,95,85,85,65,65,35
espeon,psychic,,65,65,60,130,95,110
umbreon,dark,,95,65,110,60,130,65
murkrow,dark,flying,60,85,42,85,42,91
slowking,water,psychic,95,75,80,100,110,30
misdreavus,ghost,,60,60,60,85,85,85
unown,psychic,,48,72,48,72,48,48
wobbuffet,psychic,,190,33,58,33,58,33
girafarig,normal,psychic,70,80,65,90,65,85
pineco,bug,,50,65,90,35,35,15
forretress,bug,steel,75,90,140,60,60,40
dunsparce,normal,,100,70,70,65,65,45
gligar,ground,flying,65,75,105,35,65,85
steelix,steel,ground,75,85,200,55,65,30
snubbull,fairy,,60,80,50,40,40,30
granbull,fairy,,90,120,75,60,60,45
qwilfish,water,poison,65,95,85,55,55,85
scizor,bug,steel,70,130,100,55,80,65
shuckle,bug,rock,20,10,230,10,230,5
heracross,bug,fighting,80,125,75,40,95,85
sneasel,dark,ice,55,95,55,35,75,115
teddiursa,normal,,60,80,50,50,50,40
ursaring,normal,,90,130,75,75,75,55
slugma,fire,,40,40,40,70,40,20
magcargo,fire,rock,60,50,120,90,80,30
swinub,ice,ground,50,50,40,30,30,50
piloswine,ice,ground,100,100,80,60,60,50
corsola,water,rock,65,55,95,65,95,35
remoraid,water,,35,65,35,65,35,65
octillery,water,,75,105,75,105,75,45
delibird,ice,flying,45,55,45,65,45,75
mantine,water,flying,85,40,70,80,140,70
skarmory,steel,flying,65,80,140,40,70,70
houndour,dark,fire,45,60,30,80,50,65
houndoom,dark,fire,75,90,50,110,80,95
kingdra,water,dragon,75,95,95,95,95,85
phanpy,ground,,90,60,60,40,40,40
donphan,ground,,90,120,120,60,60,50
porygon2,normal,,85,80,90,105,95,60
stantler,normal,,73,95,62,85,65,85
smeargle,normal,,55,20,35,20,45,75
tyrogue,fighting,,35,35,35,35,35,35
hitmontop,fighting,,50,95,95,35,110,70
smoochum,ice,psychic,45,30,15,85,65,65
elekid,electric,,45,63,37,65,55,95
magby,fire,,45,75,37,70,55,83
miltank,normal,,95,80,105,40,70,100
blissey,normal,,255,10,10,75,135,55
raikou,electric,,90,85,75,115,100,115
entei,fire,,115,115,85,90,75,100
suicune,water,,100,75,115,90,115,85
larvitar,rock,ground,50,64,50,45,50,41
pupitar,rock,ground,70,84,70,65,70,51
tyranitar,rock,dark,100,134,110,95,100,61
lugia,psychic,flying,106,90,130,90,154,110
ho-oh,fire,flying,106,130,90,110,154,90
celebi,psychic,grass,100,100,100,100,100,100
treecko,grass,,40,45,35,65,55,70
grovyle,grass,,50,65,45,85,65,95
sceptile,grass,,70,85,65,105,85,120
torchic,fire,,45,60,40,70,50,45
combusken,fire,fighting,60,85,60,85,60,55
blaziken,fire,fighting,80,120,70,110,70,80
mudkip,water,,50,70,50,50,50,40
marshtomp,water,ground,70,85,70,60,70,50
swampert,water,ground,100,110,90,85,90,60
poochyena,dark,,35,55,35,30,30,35
mightyena,dark,,70,90,70,60,60,70
zigzagoon,normal,,38,30,41,30,41,60
linoone,normal,,78,70,61,50,61,100
wurmple,bug,,45,45,35,20,30,20
silcoon,bug,,50,35,55,25,25,15
beautifly,bug,flying,60,70,50,100,50,65
cascoon,bug,,50,35,55,25,25,15
dustox,bug,poison,60,50,70,50,90,65
lotad,water,grass,40,30,30,40,50,30
lombre,water,grass,60,50,50,60,70,50
ludicolo,water,grass,80,70,70,90,100,70
seedot,grass,,40,40,50,30,30,30
nuzleaf,grass,dark,70,70,40,60,40,60
shiftry,grass,dark,90,100,60,90,60,80
taillow,normal,flying,40,55,30,30,30,85
swellow,normal,flying,60,85,60,75,50,125
wingull,water,flying,40,30,30,55,30,85
pelipper,water,flying,60,50,100,95,70,65
ralts,psychic,fairy,28,25,25,45,35,40
kirlia,psychic,fairy,38,35,35,65,55,50
gardevoir,psychic,fairy,68,65,65,125,115,80
surskit,bug,water,40,30,32,50,52,65
masquerain,bug,flying,70,60,62,100,82,80
shroomish,grass,,60,40,60,40,60,35
breloom,grass,fighting,60,130,80,60,60,70
slakoth,normal,,60,60,60,35,35,30
vigoroth,normal,,80,80,80,55,55,90
slaking,normal,,150,160,100,95,65,100
nincada,bug,ground,31,45,90,30,30,40
ninjask,bug,flying,61,90,45,50,50,160
shedinja,bug,ghost,1,90,45,30,30,40
whismur,normal,,64,51,23,51,23,28
loudred,normal,,84,71,43,71,43,48
exploud,normal,,104,91,63,91,73,68
makuhita,fighting,,72,60,30,20,30,25
hariyama,fighting,,144,120,60,40,60,50
azurill,normal,fairy,50,20,40,20,40,20
nosepass,rock,,30,45,135,45,90,30
skitty,normal,,50,45,45,35,35,50
delcatty,normal,,70,65,65,55,55,90
sableye,dark,ghost,50,75,75,65,65,50
mawile,steel,fairy,50,85,85,55,55,50
aron,steel,rock,50,70,100,40,40,30
lairon,steel,rock,60,90,140,50,50,40
aggron,steel,rock,70,110,180,60,60,50
meditite,fighting,psychic,30,40,55,40,55,60
medicham,fighting,psychic,60,60,75,60,75,80
electrike,electric,,40,45,40,65,40,65
manectric,electric,,70,75,60,105,60,105
plusle,electric,,60,50,40,85,75,95
minun,electric,,60,40,50,75,85,95
volbeat,bug,,65,73,75,47,85,85
illumise,bug,,65,47,75,73,85,85
roselia,grass,poison,50,60,45,100,80,65
gulpin,poison,,70,43,53,43,53,40
swalot,poison,,100,73,83,73,83,55
carvanha,water,dark,45,90,20,65,20,65
sharpedo,water,dark,70,120,40,95,40,95
wailmer,water,,130,70,35,70,35,60
wailord,water,,170,90,45,90,45,60
numel,fire,ground,60,60,40,65,45,35
camerupt,fire,ground,70,100,70,105,75,40
torkoal,fire,,70,85,140,85,70,20
spoink,psychic,,60,25,35,70,80,60
grumpig,psychic,,80,45,65,90,110,80
spinda,normal,,60,60,60,60,60,60
trapinch,ground,,45,100,45,45,45,10
vibrava,ground,dragon,50,70,50,50,50,70
flygon,ground,dragon,80,100,80,80,80,100
cacnea,grass,,50,85,40,85,40,35
cacturne,grass,dark,70,115,60,115,60,55
swablu,normal,flying,45,40,60,40,75,50
altaria,dragon,flying,75,70,90,70,105,80
zangoose,normal,,73,115,60,60,60,90
seviper,poison,,73,100,60,100,60,65
lunatone,rock,psychic,90,55,65,95,85,70
solrock,rock,psychic,90,95,85,55,65,70
barboach,water,ground,50,48,43,46,41,60
whiscash,water,ground,110,78,73,76,71,60
corphish,water,,43,80,65,50,35,35
crawdaunt,water,dark,63,120,85,90,55,55
baltoy,ground,psychic,40,40,55,40,70,55
claydol,ground,psychic,60,70,105,70,120,75
lileep,rock,grass,66,41,77,61,87,23
cradily,rock,grass,86,81,97,81,107,43
anorith,rock,bug,45,95,50,40,50,75
armaldo,rock,bug,75,125,100,70,80,45
feebas,water,,20,15,20,10,55,80
milotic,water,,95,60,79,100,125,81
castform,normal,,70,70,70,70,70,70
kecleon,normal,,60,90,70,60,120,40
shuppet,ghost,,44,75,35,63,33,45
banette,ghost,,64,115,65,83,63,65
duskull,ghost,,20,40,90,30,90,25
dusclops,ghost,,40,70,130,60,130,25
tropius,grass,flying,99,68,83,72,87,51
chimecho,psychic,,75,50,80,95,90,65
absol,dark,,65,130,60,75,60,75
wynaut,psychic,,95,23,48,23,48,23
snorunt,ice,,50,50,50,50,50,50
glalie,ice,,80,80,80,80,80,80
spheal,ice,water,70,40,50,55,50,25
sealeo,ice,water,90,60,70,75,70,45
walrein,ice,water,110,80,90,95,90,65
clamperl,water,,35,64,85,74,55,32
huntail,water,,55,104,105,94,75,52
gorebyss,water,,55,84,105,114,75,52
relicanth,water,rock,100,90,130,45,65,55
luvdisc,water,,43,30,55,40,65,97
bagon,dragon,,45,75,60,40,30,50
shelgon,dragon,,65,95,100,60,50,50
salamence,dragon,flying,95,135,80,110,80,100
beldum,steel,psychic,40,55,80,35,60,30
metang,steel,psychic,60,75,100,55,80,50
metagross,steel,psychic,80,135,130,95,90,70
regirock,rock,,80,100,200,50,100,50
regice,ice,,80,50,100,100,200,50
registeel,steel,,80,75,150,75,150,50
latias,dragon,psychic,80,80,90,110,130,110
latios,dragon,psychic,80,90,80,130,110,110
kyogre,water,,100,100,90,150,140,90
groudon,ground,,100,150,140,100,90,90
rayquaza,dragon,flying,105,150,90,150,90,95
jirachi,steel,psychic,100,100,100,100,100,100
deoxys-normal,psychic,,50,150,50,150,50,150
turtwig,grass,,55,68,64,45,55,31
grotle,grass,,75,89,85,55,65,36
torterra,grass,ground,95,109,105,75,85,56
chimchar,fire,,44,58,44,58,44,61
monferno,fire,fighting,64,78,52,78,52,81
infernape,fire,fighting,76,104,71,104,71,108
piplup,water,,53,51,53,61,56,40
prinplup,water,,64,66,68,81,76,50
empoleon,water,steel,84,86,88,111,101,60
starly,normal,flying,40,55,30,30,30,60
staravia,normal,flying,55,75,50,40,40,80
staraptor,normal,flying,85,120,70,50,60,100
bidoof,normal,,59,45,40,35,40,31
bibarel,normal,water,79,85,60,55,60,71
kricketot,bug,,37,25,41,25,41,25
kricketune,bug,,77,85,51,55,51,65
shinx,electric,,45,65,34,40,34,45
luxio,electric,,60,85,49,60,49,60
luxray,electric,,80,120,79,95,79,70
budew,grass,poison,40,30,35,50,70,55
roserade,grass,poison,60,70,65,125,105,90
cranidos,rock,,67,125,40,30,30,58
rampardos,rock,,97,165,60,65,50,58
shieldon,rock,steel,30,42,118,42,88,30
bastiodon,rock,steel,60,52,168,47,138,30
burmy,bug,,40,29,45,29,45,36
wormadam-plant,bug,grass,60,59,85,79,105,36
mothim,bug,flying,70,94,50,94,50,66
combee,bug,flying,30,30,42,30,42,70
vespiquen,bug,flying,70,80,102,80,102,40
pachirisu,electric,,60,45,70,45,90,95
buizel,water,,55,65,35,60,30,85
floatzel,water,,85,105,55,85,50,115
cherubi,grass,,45,35,45,62,53,35
cherrim,grass,,70,60,70,87,78,85
shellos,water,,76,48,48,57,62,34
gastrodon,water,ground,111,83,68,92,82,39
ambipom,normal,,75,100,66,60,66,115
drifloon,ghost,flying,90,50,34,60,44,70
drifblim,ghost,flying,150,80,44,90,54,80
buneary,normal,,55,66,44,44,56,85
lopunny,normal,,65,76,84,54,96,105
mismagius,ghost,,60,60,60,105,105,105
honchkrow,dark,flying,100,125,52,105,52,71
glameow,normal,,49,55,42,42,37,85
purugly,normal,,71,82,64,64,59,112
chingling,psychic,,45,30,50,65,50,45
stunky,poison,dark,63,63,47,41,41,74
skuntank,poison,dark,103,93,67,71,61,84
bronzor,steel,psychic,57,24,86,24,86,23
bronzong,steel,psychic,67,89,116,79,116,33
bonsly,rock,,50,80,95,10,45,10
mime-jr,psychic,fairy,20,25,45,70,90,60
happiny,normal,,100,5,5,15,65,30
chatot,normal,flying,76,65,45,92,42,91
spiritomb,ghost,dark,50,92,108,92,108,35
gible,dragon,ground,58,70,45,40,45,42
gabite,dragon,ground,68,90,65,50,55,82
garchomp,dragon,ground,108,130,95,80,85,102
munchlax,normal,,135,85,40,40,85,5
riolu,fighting,,40,70,40,35,40,60
lucario,fighting,steel,70,110,70,115,70,90
hippopotas,ground,,68,72,78,38,42,32
hippowdon,ground,,108,112,118,68,72,47
skorupi,poison,bug,40,50,90,30,55,65
drapion,poison,dark,70,90,110,60,75,95
croagunk,poison,fighting,48,61,40,61,40,50
toxicroak,poison,fighting,83,106,65,86,65,85
carnivine,grass,,74,100,72,90,72,46
finneon,water,,49,49,56,49,61,66
lumineon,water,,69,69,76,69,86,91
mantyke,water,flying,45,20,50,60,120,50
snover,grass,ice,60,62,50,62,60,40
abomasnow,grass,ice,90,92,75,92,85,60
weavile,dark,ice,70,120,65,45,85,125
magnezone,electric,steel,70,70,115,130,90,60
lickilicky,normal,,110,85,95,80,95,50
rhyperior,ground,rock,115,140,130,55,55,40
tangrowth,grass,,100,100,125,110,50,50
electivire,electric,,75,123,67,95,85,95
magmortar,fire,,75,95,67,125,95,83
togekiss,fairy,flying,85,50,95,120,115,80
yanmega,bug,flying,86,76,86,116,56,95
leafeon,grass,,65,110,130,60,65,95
glaceon,ice,,65,60,110,130,95,65
gliscor,ground,flying,75,95,125,45,75,95
mamoswine,ice,ground,110,130,80,70,60,80
porygon-z,normal,,85,80,70,135,75,90
gallade,psychic,fighting,68,125,65,65,115,80
probopass,rock,steel,60,55,145,75,150,40
dusknoir,ghost,,45,100,135,65,135,45
froslass,ice,ghost,70,80,70,80,70,110
rotom,electric,ghost,50,50,77,95,77,91
uxie,psychic,,75,75,130,75,130,95
mesprit,psychic,,80,105,105,105,105,80
azelf,psychic,,75,125,70,125,70,115
dialga,steel,dragon,100,120,120,150,100,90
palkia,water,dragon,90,120,100,150,120,100
heatran,fire,steel,91,90,106,130,106,77
regigigas,normal,,110,160,110,80,110,100
giratina-altered,ghost,dragon,150,100,120,100,120,90
cresselia,psychic,,120,70,110,75,120,85
phione,water,,80,80,80,80,80,80
manaphy,water,,100,100,100,100,100,100
darkrai,dark,,70,90,90,135,90,125
shaymin-land,grass,,100,100,100,100,100,100
arceus,normal,,120,120,120,120,120,120
victini,psychic,fire,100,100,100,100,100,100
snivy,grass,,45,45,55,45,55,63
servine,grass,,60,60,75,60,75,83
serperior,grass,,75,75,95,75,95,113
tepig,fire,,65,63,45,45,45,45
pignite,fire,fighting,90,93,55,70,55,55
emboar,fire,fighting,110,123,65,100,65,65
oshawott,water,,55,55,45,63,45,45
dewott,water,,75,75,60,83,60,60
samurott,water,,95,100,85,108,70,70
patrat,normal,,45,55,39,35,39,42
watchog,normal,,60,85,69,60,69,77
lillipup,normal,,45,60,45,25,45,55
herdier,normal,,65,80,65,35,65,60
stoutland,normal,,85,110,90,45,90,80
purrloin,dark,,41,50,37,50,37,66
liepard,dark,,64,88,50,88,50,106
pansage,grass,,50,53,48,53,48,64
simisage,grass,,75,98,63,98,63,101
pansear,fire,,50,53,48,53,48,64
simisear,fire,,75,98,63,98,63,101
panpour,water,,50,53,48,53,48,64
simipour,water,,75,98,63,98,63,101
munna,psychic,,76,25,45,67,55,24
musharna,psychic,,116,55,85,107,95,29
pidove,normal,flying,50,55,50,36,30,43
tranquill,normal,flying,62,77,62,50,42,65
unfezant,normal,flying,80,115,80,65,55,93
blitzle,electric,,45,60,32,50,32,76
zebstrika,electric,,75,100,63,80,63,116
roggenrola,rock,,55,75,85,25,25,15
boldore,rock,,70,105,105,50,40,20
gigalith,rock,,85,135,130,60,80,25
woobat,psychic,flying,65,45,43,55,43,72
swoobat,psychic,flying,67,57,55,77,55,114
drilbur,ground,,60,85,40,30,45,68
excadrill,ground,steel,110,135,60,50,65,88
audino,normal,,103,60,86,60,86,50
timburr,fighting,,75,80,55,25,35,35
gurdurr,fighting,,85,105,85,40,50,40
conkeldurr,fighting,,105,140,95,55,65,45
tympole,water,,50,50,40,50,40,64
palpitoad,water,ground,75,65,55,65,55,69
seismitoad,water,ground,105,95,75,85,75,74
throh,fighting,,120,100,85,30,85,45
sawk,fighting,,75,125,75,30,75,85
sewaddle,bug,grass,45,53,70,40,60,42
swadloon,bug,grass,55,63,90,50,80,42
leavanny,bug,grass,75,103,80,70,80,92
venipede,bug,poison,30,45,59,30,39,57
whirlipede,bug,poison,40,55,99,40,79,47
scolipede,bug,poison,60,100,89,55,69,112
cottonee,grass,fairy,40,27,60,37,50,66
whimsicott,grass,fairy,60,67,85,77,75,116
petilil,grass,,45,35,50,70,50,30
lilligant,grass,,70,60,75,110,75,90
basculin-red-striped,water,,70,92,65,80,55,98
sandile,ground,dark,50,72,35,35,35,65
krokorok,ground,dark,60,82,45,45,45,74
krookodile,ground,dark,95,117,80,65,70,92
darumaka,fire,,70,90,45,15,45,50
darmanitan-standard,fire,,105,140,55,30,55,95
maractus,grass,,75,86,67,106,67,60
dwebble,bug,rock,50,65,85,35,35,55
crustle,bug,rock,70,105,125,65,75,45
scraggy,dark,fighting,50,75,70,35,70,48
scrafty,dark,fighting,65,90,115,45,115,58
sigilyph,psychic,flying,72,58,80,103,80,97
yamask,ghost,,38,30,85,55,65,30
cofagrigus,ghost,,58,50,145,95,105,30
tirtouga,water,rock,54,78,103,53,45,22
carracosta,water,rock,74,108,133,83,65,32
archen,rock,flying,55,112,45,74,45,70
archeops,rock,flying,75,140,65,112,65,110
trubbish,poison,,50,50,62,40,62,65
garbodor,poison,,80,95,82,60,82,75
zorua,dark,,40,65,40,80,40,65
zoroark,dark,,60,105,60,120,60,105
minccino,normal,,55,50,40,40,40,75
cinccino,normal,,75,95,60,65,60,115
gothita,psychic,,45,30,50,55,65,45
gothorita,psychic,,60,45,70,75,85,55
gothitelle,psychic,,70,55,95,95,110,65
solosis,psychic,,45,30,40,105,50,20
duosion,psychic,,65,40,50,125,60,30
reuniclus,psychic,,110,65,75,125,85,30
ducklett,water,flying,62,44,50,44,50,55
swanna,water,flying,75,87,63,87,63,98
vanillite,ice,,36,50,50,65,60,44
vanillish,ice,,51,65,65,80,75,59
vanilluxe,ice,,71,95,85,110,95,79
deerling,normal,grass,60,60,50,40,50,75
sawsbuck,normal,grass,80,100,70,60,70,95
emolga,electric,flying,55,75,60,75,60,103
karrablast,bug,,50,75,45,40,45,60
escavalier,bug,steel,70,135,105,60,105,20
foongus,grass,poison,69,55,45,55,55,15
amoonguss,grass,poison,114,85,70,85,80,30
frillish,water,ghost,55,40,50,65,85,40
jellicent,water,ghost,100,60,70,85,105,60
alomomola,water,,165,75,80,40,45,65
joltik,bug,electric,50,47,50,57,50,65
galvantula,bug,electric,70,77,60,97,60,108
ferroseed,grass,steel,44,50,91,24,86,10
ferrothorn,grass,steel,74,94,131,54,116,20
klink,steel,,40,55,70,45,60,30
klang,steel,,60,80,95,70,85,50
klinklang,steel,,60,100,115,70,85,90
tynamo,electric,,35,55,40,45,40,60
eelektrik,electric,,65,85,70,75,70,40
eelektross,electric,,85,115,80,105,80,50
elgyem,psychic,,55,55,55,85,55,30
beheeyem,psychic,,75,75,75,125,95,40
litwick,ghost,fire,50,30,55,65,55,20
lampent,ghost,fire,60,40,60,95,60,55
chandelure,ghost,fire,60,55,90,145,90,80
axew,dragon,,46,87,60,30,40,57
fraxure,dragon,,66,117,70,40,50,67
haxorus,dragon,,76,147,90,60,70,97
cubchoo,ice,,55,70,40,60,40,40
beartic,ice,,95,130,80,70,80,50
cryogonal,ice,,80,50,50,95,135,105
shelmet,bug,,50,40,85,40,65,25
accelgor,bug,,80,70,40,100,60,145
stunfisk,ground,electric,109,66,84,81,99,32
mienfoo,fighting,,45,85,50,55,50,65
mienshao,fighting,,65,125,60,95,60,105
druddigon,dragon,,77,120,90,60,90,48
golett,ground,ghost,59,74,50,35,50,35
golurk,ground,ghost,89,124,80,55,80,55
pawniard,dark,steel,45,85,70,40,40,60
bisharp,dark,steel,65,125,100,60,70,70
bouffalant,normal,,95,110,95,40,95,55
rufflet,normal,flying,70,83,50,37,50,60
braviary,normal,flying,100,123,75,57,75,80
vullaby,dark,flying,70,55,75,45,65,60
mandibuzz,dark,flying,110,65,105,55,95,80
heatmor,fire,,85,97,66,105,66,65
durant,bug,steel,58,109,112,48,48,109
deino,dark,dragon,52,65,50,45,50,38
zweilous,dark,dragon,72,85,70,65,70,58
hydreigon,dark,dragon,92,105,90,125,90,98
larvesta,bug,fire,55,85,55,50,55,60
volcarona,bug,fire,85,60,65,135,105,100
cobalion,steel,fighting,91,90,129,90,72,108
terrakion,rock,fighting,91,129,90,72,90,108
virizion,grass,fighting,91,90,72,90,129,108
